code,name,industry,themes,market_cap_billion,primary_industry,secondary_industries,style_tags,concept_tags
600900,长江电力,公用事业,高股息;防御;能源安全;现金流,,公用事业,,高股息;防御;能源安全;现金流,
600025,华能水电,公用事业,高股息;防御;能源安全;现金流,1701.02,公用事业,,高股息;防御;能源安全;现金流,
601166,兴业银行,银行,金融稳定;高股息;防御,3610.38,银行,,金融稳定;高股息;防御,
601088,中国神华,煤炭,高股息;防御;能源安全;资源;现金流,,煤炭,资源,高股息;防御;能源安全;现金流,
601857,中国石油,石油石化,高股息;能源安全;资源,16142.45,石油石化,资源,高股息;能源安全,
600028,中国石化,石油石化,高股息;能源安全;资源,5562.57,石油石化,资源,高股息;能源安全,
600036,招商银行,银行,金融稳定;高股息;防御,9230.46,银行,,金融稳定;高股息;防御,
601658,邮储银行,银行,金融稳定;高股息;防御,5956.71,银行,,金融稳定;高股息;防御,
600919,江苏银行,银行,金融稳定;高股息;防御,2064.52,银行,,金融稳定;高股息;防御,
000001,平安银行,银行,金融稳定;高股息;防御,1994.93,银行,,金融稳定;高股息;防御,
601398,工商银行,银行,高股息;防御;金融稳定,,银行,,高股息;防御;金融稳定,
600519,贵州茅台,白酒,品牌消费;现金流;防御,,白酒,消费,品牌消费;现金流;防御,
000858,五粮液,白酒,品牌消费;现金流,,白酒,消费,品牌消费;现金流,
600489,中金黄金,黄金,黄金;避险;资源,,黄金,资源,避险,
600547,山东黄金,黄金,黄金;避险;资源,,黄金,资源,避险,
603993,洛阳钼业,工业金属,工业金属;资源;新材料;全球竞争,,工业金属,钼;铜;资源,全球竞争,新材料
601899,紫金矿业,工业金属,工业金属;黄金;资源;全球竞争,,工业金属,铜;黄金;资源,全球竞争,
600362,江西铜业,工业金属,工业金属;铜;资源,,工业金属,铜;资源,顺周期,
000878,云南铜业,工业金属,工业金属;铜;资源,,工业金属,铜;资源,顺周期,
601600,中国铝业,工业金属,工业金属;铝;资源,,工业金属,铝;资源,顺周期,
601168,西部矿业,工业金属,工业金属;铜;铅锌;资源,,工业金属,铜;铅锌;资源,顺周期,
600219,南山铝业,工业金属,工业金属;铝;新材料,,工业金属,铝,,新材料
002532,天山铝业,工业金属,工业金属;铝;资源,,工业金属,铝;资源,顺周期,
600111,北方稀土,工业金属,工业金属;稀土;新材料;资源,,工业金属,稀土;资源,,新材料
603799,华友钴业,工业金属,工业金属;钴;新能源;资源,,工业金属,钴;资源,,新能源
600160,巨化股份,氟化工,先进制造;新材料;能源安全,,化工,氟化工,能源安全,先进制造;新材料
300750,宁德时代,新能源电池,新能源;先进制造;全球竞争,,新能源,新能源电池,全球竞争,先进制造
000657,中钨高新,钨,资源;新材料;高端制造,,工业金属,钨;资源,,新材料;高端制造
600549,厦门钨业,钨,资源;新材料;高端制造,,工业金属,钨;资源,,新材料;高端制造
002407,多氟多,氟化工,新材料;新能源;先进制造,,化工,氟化工,,新材料;新能源;先进制造
603505,金石资源,氟资源,资源;新材料,,化工,氟资源;资源,,新材料
605020,永和股份,氟化工,新材料;先进制造,,化工,氟化工,,新材料;先进制造
002326,永太科技,氟化工,新材料;先进制造,,化工,氟化工,,新材料;先进制造
002378,章源钨业,钨,资源;新材料,,工业金属,钨;资源,,新材料
002559,亚威股份,工业母机,高端制造;先进制造,,工业母机,,,高端制造;先进制造
688305,科德数控,工业母机,高端制造;先进制造,,工业母机,,,高端制造;先进制造
300498,温氏股份,养殖,农业;防御;消费,,养殖,农业,防御,消费
002120,韵达股份,物流,消费;顺周期,,物流,消费,顺周期,
